ID,대분류,중분류(화면),소분류(기능),시나리오,사전조건,테스트절차,기대결과,유형,우선순위,결과,비고
FE-SP-012,스플래시,스플래시 화면,화면 전환 콜백,오프라인(네트워크 끊김) 상태에서도 스플래시가 정상 표시되고 전환된다,기기가 비행기모드 등 네트워크 차단 상태,1. 네트워크를 차단한다 2. 앱을 실행해 스플래시 표시와 다음 화면 전환을 확인한다,"스플래시는 로컬스토리지만 사용하므로 네트워크 없이도 정상 표시되고, 저장된 로그인 상태에 따라 화면 전환이 완료된다(스플래시 멈춤·무한 대기 없음)",경계,P1,,
FE-TB-001,메인탭,메인탭 루트,로그인 상태 분기,비로그인 상태로 진입 시 로그인 화면 노출,액세스 토큰 없음(비로그인 상태),1. 토큰이 없는 상태로 앱 실행 2. 메인탭 진입,탭바 대신 SignInView(로그인 화면)이 표시된다,예외,P0,,
FE-TB-002,메인탭,메인탭 루트,로그인 상태 분기,로그인 상태로 진입 시 3탭 탭바 노출,유효한 액세스 토큰 보유(로그인 상태),1. 로그인된 상태로 앱 실행 2. 메인탭 진입,홈/관심/마이페이지 3개 탭으로 구성된 탭바가 표시된다,정상,P0,,
FE-TB-003,메인탭,메인탭 루트,로그인 상태 분기,로그인 완료 시 로그인 화면에서 탭바로 자동 전환,비로그인 상태로 SignInView 노출 중,1. 로그인 화면에서 로그인 진행 2. 토큰 발급 완료,토큰 스트림 갱신(isUserLoggedIn=true)으로 자동으로 탭바 화면으로 전환된다,정상,P0,,
FE-TB-004,메인탭,메인탭 루트,로그인 상태 분기,사용 중 토큰 만료/로그아웃 시 로그인 화면으로 전환,로그인 상태로 탭바 사용 중,1. 탭바 사용 중 토큰 만료 또는 로그아웃 발생,tokenInfoStream으로 isUserLoggedIn=false 갱신되어 SignInView로 전환된다,예외,P0,,토큰 만료 트리거 자체는 데이터파트 연계
FE-TB-006,메인탭,온보딩 진입,최초 실행 권한요청 풀스크린,앱 최초 실행 + 로그인 상태에서 권한요청 풀스크린 자동 표시,"isTabEnterFirst 로컬키 미존재(최초 실행), 로그인 상태",1. 설치 후 앱 최초 실행 2. 로그인 상태로 탭바 진입,권한요청 온보딩 풀스크린(presentFullScreen)이 자동으로 표시된다,정상,P0,,
FE-TB-010,메인탭,탭바,탭 전환,탭바 진입 시 기본 선택 탭이 홈,로그인 상태로 탭바 진입,1. 탭바 진입,홈 탭이 선택되어 AuctionHomeView가 표시된다,정상,P0,,
FE-TB-011,메인탭,탭바,탭 전환,홈에서 관심 탭으로 전환,홈 탭 선택 상태,1. 하단 관심 탭 탭,InterestView가 표시되고 관심 탭이 선택 강조된다,정상,P0,,
FE-TB-012,메인탭,탭바,탭 전환,홈에서 마이페이지 탭으로 전환,홈 탭 선택 상태,1. 하단 마이페이지 탭 탭,MyPageView가 표시되고 마이페이지 탭이 선택 강조된다,정상,P0,,
FE-TB-016,메인탭,탭바,탭 상태 보존,다른 탭 갔다 복귀 시 직전 탭 스크롤/상태 보존,홈 탭에서 일정 위치까지 스크롤한 상태,1. 홈 탭 스크롤 2. 관심 탭 이동 3. 홈 탭 복귀,홈 탭의 스크롤 위치 및 화면 상태가 보존된다,경계,P1,,
FE-TB-021,메인탭,네트워크 끊김 시트,네트워크 끊김 안내,사용 중 네트워크 끊기면 안내 시트 자동 노출,"로그인 상태로 탭바 사용 중, 네트워크 연결됨",1. 탭바 사용 중 2. 네트워크 연결 해제,onChange 감지로 '인터넷 연결이 되지 않아요' 안내 시트가 자동으로 표시된다,예외,P0,,
FE-TB-023,메인탭,네트워크 끊김 시트,네트워크 재연결,네트워크 재연결 시 안내 시트 자동 닫힘,네트워크 끊김 시트 표시 중,1. 네트워크 재연결,onChange로 isShowNetworkDisconnect=false 처리되어 시트가 닫힌다,정상,P1,,
FE-AH-001,경매홈,경매홈 매물리스트,초기 로딩,경매홈 최초 진입 시 전체화면 로딩 인디케이터가 표시된다,앱 실행 후 경매홈 탭 최초 진입(비/로그인 무관),1. 경매홈 화면에 진입한다 2. onLoad가 트리거되어 매물 로딩이 시작된다,"로딩 중에는 .loading() 전체화면 인디케이터가 표시되고, 로딩 완료 후 인디케이터가 사라지며 매물 리스트가 렌더링된다",정상,P0,,onLoad는 withFilter:false로 호출되어 필터 미적용 상태로 첫 로딩됨
FE-AH-002,경매홈,경매홈 매물리스트,매물 리스트 렌더링,매물 데이터가 있을 때 인증매물 안내 배너와 매물 셀들이 정상 표시된다,매물 데이터 1건 이상 존재,1. 경매홈에 진입한다 2. 로딩 완료를 기다린다,"상단 인증매물 안내 배너(InformCertificationView) 아래로 매물 셀들이 LazyVStack에 순서대로 표시되며, 각 셀에 이미지/감정가/주소/건물명/D-day(또는 매각)/찜 영역이 보인다",정상,P0,,값 정확성은 데이터파트 연계
FE-AH-004,경매홈,경매홈 매물리스트,에러 처리,매물 로드 실패 시 에러 alert가 표시된다,네트워크 끊김 또는 서버 에러 상황,1. 네트워크를 차단한다 2. 경매홈에 진입하거나 새로고침한다,"로딩 인디케이터가 사라지고 .alert(error:) 에러 알럿이 표시되며, 리스트는 갱신되지 않는다",예외,P0,,에러 메시지 내용 자체는 데이터파트 연계
FE-AH-005,경매홈,경매홈 매물리스트,당겨서 새로고침,리스트를 아래로 당기면 매물이 재조회된다,매물 리스트가 표시된 상태,1. 리스트 최상단에서 아래로 당긴다(pull to refresh),"refreshable가 트리거되어 loadAuctionSalesList(withFilter:true)가 호출되고, 현재 필터 기준으로 리스트가 갱신된다",정상,P1,,"새로고침은 필터 적용(withFilter 기본 true), 최초 onLoad는 필터 미적용 차이 확인"
FE-AH-006,경매홈,경매홈 매물리스트,무한 스크롤,리스트 하단까지 스크롤하면 다음 페이지 매물이 추가 로드된다,매물 1건 이상 존재(다음 페이지 데이터 존재),1. 리스트를 아래로 끝까지 스크롤한다,"하단 loadMoreView의 task가 트리거되어 loadMoreAuctionSales가 호출되고, 기존 리스트 끝에 다음 페이지 매물이 append되며 스크롤이 이어진다",정상,P0,,
FE-AH-008,경매홈,경매홈 매물리스트,무한 스크롤,추가 페이지 로딩 실패 시 기존 리스트가 유지되고 에러 alert가 뜬다,"첫 페이지는 로드됨, 다음 페이지 로딩 시 네트워크 에러",1. 하단까지 스크롤한다 2. 추가 로딩 중 네트워크를 차단한다,"에러 alert가 표시되고, 기존에 표시되던 매물 리스트(currentAuctionSalesItems)는 사라지지 않고 그대로 유지된다",예외,P1,,
FE-AH-009,경매홈,경매홈 매물리스트,매물 상세 진입,매물 셀을 탭하면 경매 상세 화면으로 이동한다,매물 리스트가 표시된 상태,1. 임의의 매물 셀을 탭한다,"coordinator.push(.auctionDetail)로 해당 매물 상세 화면이 push되고, 동시에 saveRecentSales로 최근 본 매물에 저장된다",정상,P0,,최근 본 매물 저장값 정확성은 데이터파트 연계
FE-AH-012,경매홈,매물 셀,관심(찜) 토글,찜 안 된 매물의 하트를 탭하면 찜 활성 상태로 바뀐다,"로그인 상태, 해당 매물 isZzim=false",1. 매물 셀의 하트 버튼을 탭한다,"하트 아이콘이 채워진 빨강(critical)으로 바뀌고 찜 카운트가 +1 증가하며, NotificationCenter로 다른 화면에 동기화 알림이 전파된다",정상,P0,,
FE-AH-013,경매홈,매물 셀,관심(찜) 토글,찜 된 매물의 하트를 탭하면 찜이 해제된다,"로그인 상태, 해당 매물 isZzim=true",1. 매물 셀의 하트 버튼을 탭한다,하트 아이콘이 비활성(neutralMuted)으로 바뀌고 찜 카운트가 -1 감소한다,정상,P1,,
FE-AH-015,경매홈,매물 셀,찜 상태 동기화,다른 화면에서 찜 상태를 변경 후 홈으로 복귀하면 셀 상태가 동기화된다,"매물 리스트 표시, 상세 등 다른 화면에서 동일 매물 찜 변경",1. 매물 상세로 진입한다 2. 상세에서 찜을 토글한다 3. 경매홈으로 복귀한다,NotificationCenter(auctionZzimDidChange) 수신으로 syncZzimState가 호출되어 홈 리스트 해당 셀의 하트 상태와 찜 카운트가 변경 결과와 일치하게 갱신된다,정상,P1,,
FE-AH-021,경매홈,경매홈 상단바,지역 표시,선택된 지역/시군구에 따라 상단 지역 텍스트가 올바르게 표시된다,지역 미선택/지역만 선택/시군구까지 선택 각 상태,1. 각 상태에서 상단바 지역 영역을 확인한다,"지역 미선택 시 기본 문구(homeDefaultArea), 지역만 선택 시 'region', 시군구까지 선택 시 'region district' 형식으로 표시된다",정상,P1,,
FE-AH-022,경매홈,경매홈 상단바,지역선택 시트 열기,지역 버튼을 탭하면 지역선택 바텀시트가 열린다,경매홈 표시 상태,1. 상단바 지역 텍스트/화살표 버튼을 탭한다,isShowFilterArea가 true가 되어 AuctionFilterLocationView 시트가 present된다,정상,P0,,
FE-AH-024,경매홈,지역선택 시트,지역 목록,지역선택 시트에 지역 목록이 표시된다,필터(regions) 조회 성공,1. 상단바 지역 버튼으로 시트를 연다,"좌측에 지역(region) 목록이 표시되고, 현재 선택된 지역은 강조(neutral 배경/흰 글씨)된다",정상,P1,,
FE-AH-027,경매홈,지역선택 시트,적용,적용 버튼을 탭하면 선택 지역으로 리스트가 갱신되고 시트가 닫힌다,지역/시군구를 선택한 상태,1. 지역/시군구를 선택한다 2. 우측 상단 '적용'을 탭한다,onApplied로 loadAuctionSalesList가 호출되어 리스트가 갱신되고 isShowFilterArea=false로 시트가 닫히며 상단바 지역 텍스트가 갱신된다,정상,P0,,
FE-AH-030,경매홈,필터바,필터 버튼 노출,필터 바에 5종 필터 버튼이 가로로 표시된다,경매홈 표시 상태,1. 필터 바를 확인한다,"인증매물/건물용도/경매상태/가격/낙찰 5개 필터 버튼이 가로 스크롤 영역에 표시되며, 인증매물 버튼에는 좌측 인증 아이콘, 확장형(건물용도/경매상태/가격)에는 우측 화살표가 표시된다",정상,P1,,
FE-AH-031,경매홈,필터바,인증매물 토글,인증매물 칩을 탭하면 즉시 토글되고 리스트가 갱신된다,경매홈 표시 상태,1. 인증매물 필터 칩을 탭한다,isCertified가 토글되어 활성 시 칩이 채워진 스타일(neutral 배경/흰 글씨)로 바뀌고 refreshData로 즉시 리스트가 재조회된다,정상,P0,,
FE-AH-033,경매홈,필터바,확장 필터 시트 열기,건물용도/경매상태/가격 칩을 탭하면 해당 필터 시트가 열린다,경매홈 표시 상태,1. 건물용도 칩을 탭한다 2. 닫고 경매상태 칩을 탭한다 3. 닫고 가격 칩을 탭한다,각 칩에 대응하는 바텀시트(건물용도/경매상태/가격)가 dynamicSheet로 present된다,정상,P1,,
FE-AH-034,경매홈,필터바,필터 타이틀 갱신,필터 선택 결과가 필터 칩 타이틀에 반영된다,건물용도/경매상태/가격 필터를 선택한 상태,1. 건물용도에서 2개 이상 선택한다 2. 가격 범위를 설정한다,"건물용도/경매상태는 첫 선택명 또는 '첫항목 외 N개'(auctionFilterMultiSelect)로, 가격은 'X 이상 Y 이하/이상/이하' 형식으로 칩 타이틀이 갱신되고 활성 스타일이 적용된다",정상,P1,,표시 금액 문자열 정확성은 데이터파트 연계
FE-AH-036,경매홈,필터바,시트 닫힘 후 갱신,필터 시트를 닫으면 현재 필터 기준으로 리스트가 갱신된다,확장 필터 시트가 열린 상태,1. 필터 시트에서 값을 변경한다 2. 시트를 드래그/dismiss로 닫는다,sheet onDismiss에서 refreshData가 호출되어 변경된 필터 기준으로 리스트가 재조회된다,정상,P1,,
FE-AH-039,경매홈,건물용도 필터 시트,다중 선택+디바운스,건물용도 칩 다중 선택 시 0.5초 디바운스 후 리스트와 매물 수가 갱신된다,건물용도 시트가 열린 상태,1. 칩을 빠르게 여러 개 연속 선택한다,선택할 때마다 이전 reloadTask가 취소되고 마지막 선택 0.5초 후 1회만 loadAuctionSalesList가 호출되어 'N개 매물 보기' 버튼의 매물 수(filteredItemCount)가 갱신된다,정상,P1,,
FE-AD-001,경매상세,경매상세 진입/로딩,초기 로딩,상세 진입 시 데이터 로드 전 로딩 인디케이터 표시,"유효한 auctionID로 상세 진입, 응답 지연 상태",1. 매물 리스트 등에서 경매 상세로 진입한다. 2. 데이터가 도착하기 전 화면을 관찰한다.,auctionDetailItem이 nil인 동안 화면 중앙에 ProgressView(로딩 스피너)만 표시된다.,정상,P0,,
FE-AD-002,경매상세,경매상세 진입/로딩,초기 로딩,진입 시 상세 데이터 자동 로드,유효한 auctionID,1. 경매 상세 화면으로 진입한다. 2. 별도 조작 없이 대기한다.,init 시점에 자동으로 fetch가 호출되어 로딩 후 본문(툴바/사진/요약/탭/히스토리/법원정보)이 렌더된다.,정상,P0,,
FE-AD-003,경매상세,경매상세 진입/로딩,성공 렌더,데이터 로드 성공 시 전체 섹션이 순서대로 표시,정상 응답되는 auctionID,1. 상세 진입 후 로딩 완료를 기다린다. 2. 위에서 아래로 스크롤하며 섹션을 확인한다.,툴바 → 사진 페이저 → 요약정보 → 경매정보/권리분석 탭 → 경매 히스토리 → 법원정보 순으로 표시되고 섹션 사이 divider가 보인다.,정상,P0,,
FE-AD-004,경매상세,경매상세 진입/로딩,에러 상태,상세 데이터 로드 실패 시 에러 알럿 노출,서버 오류 또는 잘못된 auctionID로 fetch 실패 유도,1. fetch가 실패하도록 한 뒤 상세에 진입한다. 2. 알럿을 확인한다.,"화면에 에러 alert가 표시되고, 본문은 로딩(ProgressView) 또는 비어있는 상태로 남는다.",예외,P0,,에러 메시지 문구 정확성은 데이터파트 연계
FE-AD-005,경매상세,경매상세 진입/로딩,네트워크 끊김,네트워크 단절 시 로딩 지속 또는 에러 처리,기기 네트워크 OFF,1. 비행기모드 등으로 네트워크를 끊는다. 2. 상세에 진입한다.,"무한 로딩에 빠지지 않고, 응답 실패 시 에러 alert가 노출된다.",예외,P1,,
FE-AD-008,경매상세,상단 툴바,뒤로가기,뒤로가기 버튼 탭 시 이전 화면으로 복귀,상세 화면 진입 상태,1. 좌상단 화살표(뒤로) 버튼을 탭한다.,dismiss가 호출되어 직전 화면으로 pop/dismiss 된다.,정상,P0,,
FE-AD-010,경매상세,상단 툴바,공유 진입,공유 버튼 탭 시 공유 바텀시트 표시,상세 진입 상태,1. 우상단 공유 아이콘을 탭한다.,하단에서 공유 바텀시트(공유하기)가 올라온다.,정상,P1,,
FE-AD-011,경매상세,공유 바텀시트,시트 렌더,공유 바텀시트 옵션 표시,공유 버튼 탭으로 시트 열림,1. 공유 바텀시트를 연다. 2. 항목을 확인한다.,"'공유하기' 제목과 '링크로 직접 공유하기', '카카오톡으로 공유하기' 두 행이 아이콘과 함께 표시된다.",정상,P1,,
FE-AD-012,경매상세,공유 바텀시트,링크 공유,링크로 공유 선택 시 시스템 공유시트 노출,공유 바텀시트 열림,1. '링크로 직접 공유하기'를 탭한다. 2. 바텀시트가 닫히는지 관찰한다.,바텀시트가 먼저 닫힌 뒤 시스템 액티비티 공유시트(주소+사건번호 텍스트 포함)가 단독으로 노출된다.,정상,P1,,
FE-AD-014,경매상세,공유 바텀시트,카카오 공유,카카오톡 미설치 시 Safari 폴백,"카카오톡 미설치, 공유 시트 열림",1. '카카오톡으로 공유하기'를 탭한다.,카카오톡 앱 대신 Safari(웹 공유 URL)로 폴백 동작한다.,예외,P1,,
FE-AD-019,경매상세,사진 페이저,빈 데이터,사진 0건일 때 페이저 영역 처리,salesPictures 빈 배열,1. 사진이 없는 매물 상세에 진입한다. 2. 사진 영역을 확인한다.,페이저 영역이 빈 상태(또는 placeholder)로 표시되고 크래시 없이 아래 섹션이 정상 노출된다.,경계,P1,,
FE-AD-020,경매상세,사진 페이저,갤러리 진입,사진 탭 시 풀스크린 갤러리 진입,사진 1장 이상,1. 페이저의 사진을 탭한다.,탭한 사진 index부터 시작하는 풀스크린 갤러리(fullScreenCover)가 검은 배경으로 열린다.,정상,P1,,
FE-AD-028,경매상세,요약정보-타이틀/관심,사건번호 복사,사건번호 탭 시 클립보드 복사,상세 진입 상태,1. 요약정보의 사건번호(복사 아이콘 포함) 영역을 탭한다. 2. 다른 입력란에 붙여넣기 한다.,사건번호 문자열이 클립보드에 복사되어 붙여넣기 된다.,정상,P1,,
FE-AD-030,경매상세,요약정보-타이틀/관심,관심(찜) 토글 ON,미찜 상태에서 하트 탭 시 찜 등록,"로그인 상태, 미찜 매물",1. 빈 하트를 탭한다.,하트가 채워지고(critical 색) 카운트가 1 증가한다.,정상,P0,,
FE-AD-031,경매상세,요약정보-타이틀/관심,관심(찜) 토글 OFF,찜 상태에서 하트 탭 시 찜 해제,"로그인 상태, 이미 찜한 매물",1. 채워진 하트를 탭한다.,하트가 빈 상태가 되고 카운트가 1 감소(최소 0)한다.,정상,P0,,
FE-AD-032,경매상세,요약정보-타이틀/관심,관심(찜) 로딩,찜 처리 중 로딩 표시 및 버튼 비활성화,찜 요청 응답 지연,1. 하트를 탭한다. 2. 처리 중 빠르게 다시 탭을 시도한다.,하트 자리에 ProgressView가 표시되고 버튼이 disabled되어 중복 요청이 막힌다.,경계,P1,,
FE-AD-033,경매상세,요약정보-타이틀/관심,관심(찜) 실패 롤백,찜 요청 실패 시 이전 상태로 롤백 및 알럿,찜 API 실패 유도,1. 하트를 탭한다. 2. 요청이 실패하도록 한다.,하트 상태와 카운트가 탭 이전 값으로 되돌아가고 에러 alert가 표시된다.,예외,P1,,
FE-AD-040,경매상세,경매정보/권리분석 탭,탭 기본 선택,진입 시 경매정보 탭이 기본 선택,상세 진입 상태,1. 탭 영역을 확인한다.,'경매정보' 탭이 기본 선택되어 한눈에보기 카드가 노출된다.,정상,P1,,
FE-AD-044,경매상세,경매정보/권리분석 탭,임차인 칩 선택,임차인 칩 선택 시 상세카드 갱신,권리분석 임차인 2명 이상,1. 권리분석 탭에서 두 번째 임차인 칩을 탭한다.,"선택 칩에 checkmark 표시, 하단 상세카드(대항력/전입신고일/보증금 등)가 선택 임차인 정보로 갱신된다.",정상,P1,,
FE-AD-048,경매상세,경매 히스토리,접힘/펼침,기본 접힘 상태에서 최신 1건만 노출,히스토리 2건 이상,1. 히스토리 섹션을 확인한다.,기본적으로 최신 1건만 보이고 하단에 그라데이션 페이드와 펼치기(아래 화살표) 버튼이 표시된다.,정상,P1,,
FE-AD-059,경매상세,법원정보/지도,지도 프리뷰,좌표 확보 시 지도 미리보기 표시,유효 좌표 확보,1. 법원정보 섹션의 지도 영역을 확인한다.,높이 120의 지도 미리보기가 모서리 라운드로 표시된다.,정상,P1,,
FE-AD-060,경매상세,법원정보/지도,전체 지도,지도 프리뷰 탭 시 풀스크린 지도 진입,유효 좌표 확보,1. 지도 미리보기를 탭한다.,풀스크린(fullScreenCover) 지도가 좌표 기준으로 열린다.,정상,P1,,
FE-SC-001,검색,검색 네비게이션바,검색 입력창,검색 화면 최초 진입 시 placeholder가 표시된다,"검색 화면 진입, 검색어 미입력",1. 검색 화면에 진입한다 2. 상단 입력창을 확인한다,"입력창이 비어 있고 placeholder1, placeholder2가 콤마로 연결되어 회색 텍스트로 노출된다",정상,P1,,
FE-SC-002,검색,검색 네비게이션바,닫기,닫기 버튼 탭 시 루트로 이동한다,검색 화면 진입,1. 우측 상단 '닫기' 버튼을 탭한다,coordinator.popToRoot가 실행되어 루트 화면으로 빠져나간다,정상,P0,,
FE-SC-003,검색,검색 네비게이션바,뒤로가기,좌측 화살표 버튼 탭 시 이전 화면으로 pop한다,검색 화면 진입,1. 좌측 상단 화살표 버튼을 탭한다,coordinator.pop이 실행되어 직전 화면으로 돌아간다,정상,P0,,
FE-SC-004,검색,검색 네비게이션바,검색 실행,검색어 입력 후 키보드 검색 시 검색이 실행된다,검색어 한 글자 이상 입력,1. 입력창에 검색어를 입력한다 2. 키보드의 검색(.search) 버튼을 탭한다,화면이 검색결과(userSearched)로 전환되고 로딩 후 결과 리스트가 표시된다,정상,P0,,
FE-SC-005,검색,검색 네비게이션바,입력 중 화면전환,텍스트 입력을 시작하면 추천검색 화면으로 전환된다,검색어 빈 상태(최근검색어 화면),1. 입력창에 한 글자를 입력한다,화면이 추천검색(recommandSearching)으로 전환되며 기존 필터/결과가 초기화되고 본문은 빈 영역(EmptyView)으로 렌더링된다,정상,P1,,추천검색 영역은 코드상 EmptyView로 비어 있음
FE-SC-006,검색,검색 네비게이션바,입력 중 화면전환,입력 텍스트를 모두 지우면 최근검색어 화면으로 복귀한다,검색어가 입력되어 있는 상태,1. 입력 텍스트를 전부 삭제해 빈 문자열로 만든다,화면이 최근검색어(latestSearchedText)로 복귀하고 최근검색어 목록이 표시된다,경계,P1,,
